Site,Archive or Source (site visit),Location in Archive or Date of My Visit,Type,Item (File Name),Title,PDF?
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 1,DSC05356.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 1,DSC05357.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 1,DSC05359.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 1,Werk,Kinderheim…,July 1953.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 10,Coop-Zeitung,Glanzjahr für Mümliswil,1987.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 10,DSC05384.JPG,Glanzjahr für Mümliswil,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 10,DSC05385.JPG,Glanzjahr für Mümliswil,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 11,Coop-Zeitung,Treffpunkt Mümliswil,1989.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 11,DSC05382.JPG,Treffpunkt Mümliswil,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 11,DSC05383.JPG,Treffpunkt Mümliswil,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 12,Coop-Zeitung,Vom Handwerk regiert,1989.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 12,DSC05379.JPG,Vom Handwerk regiert,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 12,DSC05380.JPG,Vom Handwerk regiert,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 12,DSC05381.JPG,Vom Handwerk regiert,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 13,Coop-Zeitung,Ein Zentrum für Frauen,1989.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 13,DSC05376.JPG,Ein Zentrum für Frauen,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 13,DSC05377.JPG,Ein Zentrum für Frauen,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 13,DSC05378.JPG,Ein Zentrum für Frauen,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05360.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05361.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05362.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05363.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05364.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05365.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05366.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05367.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05368.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05369.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05370.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05371.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05372.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05373.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,Jean Claude Ludi,Eine Andere Moderne…,1990.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 15,Coop-Zeitung,Bevor die Decke…,1990.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 15,DSC05374.JPG,Bevor die Decke…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 15,DSC05375.JPG,Bevor die Decke…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 2,DSC05405.JPG,Bevor die Decke…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 2,Genossenschaft,Coop Frauenbund…,Nov 1964.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 3,DSC05403.JPG,Coop Frauenbund…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 3,DSC05404.JPG,Coop Frauenbund…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 3,Genossenschaft,Das erste Bildungs-…,April 1975.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 4,DSC05401.JPG,Das erste Bildungs-…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 4,DSC05402.JPG,Das erste Bildungs-…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 4,Genossenschaft,Was wurde…?,August 1975.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,Coop-Zeitung,Komplett aus dem…,1978.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,DSC05395.JPG,Komplett aus dem…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,DSC05396.JPG,Komplett aus dem…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,DSC05397.JPG,Komplett aus dem…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,DSC05398.JPG,Komplett aus dem…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,DSC05399.JPG,Komplett aus dem…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,DSC05400.JPG,Komplett aus dem…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 6,Coop-Zeitung,Ein kleines Paradies,1979.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 6,DSC05392.JPG,Ein kleines Paradies,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 6,DSC05393.JPG,Ein kleines Paradies,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 7,Coop-Zeitung,Aktive Erholung…,1980.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 7,DSC05390.JPG,Aktive Erholung…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 7,DSC05391.JPG,Aktive Erholung…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 8,Coop-Zeitung,Der Coop Frauenbund…,1980.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 8,DSC05388.JPG,Der Coop Frauenbund…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 8,DSC05389.JPG,Der Coop Frauenbund…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 9,Coop-Zeitung,In Mümliswil kann man…,1986.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 9,DSC05386.JPG,In Mümliswil kann man…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 9,DSC05387.JPG,In Mümliswil kann man…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05273.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05274.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05275.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05276.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05277.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05278.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05279.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05280.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05281.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05282.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05283.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05284.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05285.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05286.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05287.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05288.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05289.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05290.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05291.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05292.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05293.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05294.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05295.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05296.JPG,,
